time_ms, x_mm, y_mm, heading_deg
39040, 619.4106583833323, -155.4583663840848, 72
39162, 620.3873628467037, -152.6218106572869, 71
39276, 624.404583773578, -140.2580759454499, 72
39879, 625.9354878841387, -129.3651271892926, 82
39992, 626.492180287979, -125.4040549143263, 82
40107, 628.3014306004599, -112.5305700206859, 82
40220, 629.8323347110206, -101.6376212645287, 82
40331, 631.3632388215814, -90.7446725083714, 82
40947, 630.9793443578538, -79.75137341116135, 92
41060, 630.9095347321048, -75.75198263053578, 91
41175, 630.4558412749722, -62.75990187928754, 92
41289, 630.0719468112447, -51.76660278207748, 92
41400, 629.6880523475171, -40.77330368486742, 92
41515, 629.2692583870871, -28.78061376063828, 92
41627, 628.8853639233596, -17.78731466342822, 92
41738, 628.501469459632, -6.794015566218166, 92
41851, 628.1175749959045, 4.199283530991888, 92
41961, 627.6987810354746, 16.19197345522104, 92
42074, 627.314886571747, 27.1852725524311, 92
42185, 626.9309921080195, 38.17857164964115, 92
42297, 626.547097644292, 49.17187074685121, 92
42408, 626.1632031805645, 60.16516984406127, 92
43028, 624.0840862723868, 69.94664585139933, 102
43146, 623.3208502908806, 73.87315458518998, 101
43257, 620.8259100010674, 85.61092579399565, 102
43368, 618.7270110519254, 96.40882481191996, 101
43481, 616.43998245293, 107.1684484199918, 102
43592, 614.1529538539348, 117.9280720280637, 102
43707, 611.6580135641215, 129.6658432368694, 102
43818, 609.3709849651263, 140.4254668449412, 102
43934, 607.0839563661309, 151.1850904530131, 102
44047, 604.5890160763178, 162.9228616618188, 102
44166, 602.0940757865047, 174.6606328706245, 102
44277, 599.8070471875093, 185.4202564786963, 102
44390, 597.5200185885139, 196.1798800867682, 102
44501, 595.2329899895187, 206.9395036948401, 102
44616, 592.7380496997054, 218.6772749036458, 102
44727, 590.4510211007102, 229.4368985117176, 102
44837, 588.1639925017148, 240.1965221197895, 102
76170, 597.053187567071, 238.7886119344274, -9
76286, 601.0142598420373, 238.2319195305872, -8
76401, 613.854208269774, 236.1982714850642, -9
76513, 624.7187800163206, 234.4774923696216, -9
76627, 635.5833517628671, 232.7567132541791, -9
77935, 645.0385375188603, 229.5010317096075, -19
78049, 648.8427635840409, 228.2649637321077, -18
78163, 660.1889864912327, 224.3581458786218, -19
79521, 670.6844229769054, 218.5404304356658, -29
79637, 674.2162133483411, 216.6625441845222, -28
79748, 684.8115844626482, 211.0288854310915, -28
79864, 695.3070209483209, 205.2111699881355, -29
79977, 705.0194444697691, 200.0469827974906, -28
