time_ms, x_mm, y_mm, heading_deg
94609, 1015.114605529367, -105.1332337558197, -9
94724, 1026.997822354266, -106.8033109673405, -8
94838, 1038.881039179165, -108.4733881788613, -8
94950, 1048.783719866581, -109.865119188462, -8
95063, 1061.657204760221, -111.6743695009428, -8
95696, 1069.652331376373, -111.3951735273228, 2
95809, 1073.651722156999, -111.3253639015737, 1
95924, 1086.643802908247, -110.8716704444412, 2
96036, 1097.637102005457, -110.4877759807136, 2
96149, 1108.630401102667, -110.1038815169861, 2
96263, 1120.623091026896, -109.6850875565561, 2
96375, 1131.616390124106, -109.3011930928286, 2
96488, 1142.609689221316, -108.9172986291011, 2
96602, 1153.602988318526, -108.5334041653736, 2
96713, 1164.596287415736, -108.1495097016461, 2
96825, 1176.588977339965, -107.7307157412161, 2
96938, 1187.582276437175, -107.3468212774886, 2
97565, 1197.363752444514, -105.2677043693109, 12
97679, 1200.308633994857, -104.6952773831813, 11
97793, 1213.024552804396, -101.9924254025504, 12
97906, 1223.784176412468, -99.70539680355511, 12
98018, 1234.582075430392, -97.60649785441311, 11
98133, 1246.319846639198, -95.11155756459999, 12
98245, 1257.07947024727, -92.82452896560464, 12
98357, 1268.817241456076, -90.32958867579152, 12
98471, 1279.576865064148, -88.04256007679617, 12
98582, 1290.33648867222, -85.75553147780083, 12
99846, 1299.335117928627, -85.59845981986529, 1
99962, 1303.332681236704, -85.45886183305528, 2
100073, 1315.33085357858, -85.24943295580789, 1
100185, 1326.3291782253, -85.05745648499776, 1
100298, 1337.32247732251, -84.67356202127025, 2
100409, 1349.320649664387, -84.46413314402283, 1
100519, 1359.319126615951, -84.28960907965001, 1
100632, 1371.31181654018, -83.87081511922, 2
100746, 1382.30511563739, -83.48692065549249, 2
100860, 1394.297805561619, -83.06812669506249, 2
100973, 1405.291104658829, -82.68423223133496, 2
101083, 1416.284403756039, -82.30033776760745, 2
101194, 1427.282728402759, -82.10836129679732, 1
101305, 1438.281053049479, -81.91638482598721, 1
101419, 1450.273742973708, -81.4975908655572, 2
